epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1671,3.61947,5.87818,3.82143,4.16161,0.00233,0.20896,0.00255,0.00106,0.00183,0.16418,0.00144,0.00037,3.61744,5.00116,3.87457,4.04271,0.000651852,0.000651852,0.000651852
2,17.3052,3.39063,4.37259,3.5808,3.89484,0.00324,0.24876,0.01367,0.00376,0.00181,0.1393,0.00108,0.00024,4.16166,6.22506,4.18246,4.97759,0.00131417,0.00131417,0.00131417
3,22.2765,3.10425,4.05875,3.34561,3.48791,0.03505,0.07463,0.02009,0.00498,0.06356,0.02488,0.01218,0.00358,3.21907,6.00874,3.49676,3.62254,0.00197208,0.00197208,0.00197208
4,27.5482,3.04832,3.88942,3.19129,3.28346,0.06057,0.1194,0.02612,0.006,0.10229,0.06468,0.0283,0.00831,3.07036,4.88514,4.28974,3.33614,0.0019802,0.0019802,0.0019802
5,32.5358,2.92671,3.79216,3.10126,3.13574,0.07993,0.0398,0.02177,0.00428,0.03206,0.10448,0.0174,0.00471,3.05149,4.39031,4.01654,3.19447,0.0019736,0.0019736,0.0019736
6,37.8456,2.83155,3.73104,3.04366,3.06506,0.09234,0.15423,0.06806,0.01693,0.10214,0.14925,0.06841,0.02007,2.74528,3.93116,3.19711,2.99117,0.001967,0.001967,0.001967
7,43.0837,2.67878,3.62862,2.91305,2.94253,0.09659,0.20425,0.065,0.01815,0.11406,0.1592,0.07186,0.02061,2.70834,3.67648,2.97492,2.95074,0.0019604,0.0019604,0.0019604
8,48.0311,2.5964,3.55366,2.78325,2.81746,0.18698,0.17413,0.1169,0.03781,0.19491,0.14428,0.11105,0.03543,2.5898,3.56623,2.90995,2.80096,0.0019538,0.0019538,0.0019538
9,53.1403,2.50414,3.43665,2.70032,2.74361,0.21671,0.20398,0.12266,0.037,0.18745,0.199,0.11004,0.03712,2.54482,3.70283,3.21119,2.78409,0.0019472,0.0019472,0.0019472
10,58.4083,2.42156,3.40218,2.6585,2.68447,0.23731,0.22388,0.16586,0.0532,0.23638,0.19097,0.14437,0.04484,2.57192,3.87805,2.89198,2.76061,0.0019406,0.0019406,0.0019406
