epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,146.982,1.61853,2.53772,1.61717,1.87294,0.60938,0.47346,0.48585,0.2398,0.62293,0.48259,0.50573,0.24131,1.73962,2.83273,1.84109,1.97629,0.0018086,0.0018086,0.0018086
31,151.674,1.61322,2.56329,1.63753,1.86425,0.62792,0.44279,0.48552,0.24148,0.69624,0.45274,0.51825,0.23637,1.73793,2.8226,1.94863,1.97676,0.001802,0.001802,0.001802
32,156.353,1.59247,2.46382,1.57929,1.83083,0.52959,0.58706,0.50865,0.24481,0.5476,0.59619,0.53919,0.25585,1.76003,2.86844,1.79841,1.97654,0.0017954,0.0017954,0.0017954
33,161.065,1.58781,2.43322,1.54372,1.81758,0.59921,0.50249,0.55036,0.26481,0.61701,0.51741,0.55978,0.26107,1.69959,2.86307,1.68567,1.91601,0.0017888,0.0017888,0.0017888
34,165.819,1.56683,2.43812,1.5453,1.79933,0.52775,0.55224,0.54282,0.27312,0.63183,0.49254,0.53859,0.26302,1.68632,2.85418,1.76856,1.86724,0.0017822,0.0017822,0.0017822
35,170.513,1.56643,2.4225,1.52387,1.80991,0.49432,0.48756,0.43937,0.21784,0.52317,0.49254,0.46351,0.23203,1.79455,2.91857,1.91469,2.07497,0.0017756,0.0017756,0.0017756
36,175.206,1.58008,2.4605,1.5553,1.8074,0.5463,0.51244,0.50533,0.24194,0.52146,0.54726,0.51216,0.23333,1.74191,2.86598,1.74238,1.97819,0.001769,0.001769,0.001769
37,179.928,1.55318,2.42462,1.49219,1.78781,0.54594,0.54435,0.51412,0.26625,0.56775,0.56199,0.53174,0.25938,1.7781,2.73006,1.7088,1.98678,0.0017624,0.0017624,0.0017624
38,184.549,1.49467,2.35657,1.47319,1.74131,0.65881,0.53731,0.56884,0.3031,0.65881,0.53731,0.57948,0.29295,1.63377,2.73313,1.64964,1.86747,0.0017558,0.0017558,0.0017558
39,189.226,1.48618,2.33033,1.40418,1.73595,0.64106,0.55224,0.58564,0.31952,0.65001,0.55721,0.58889,0.3082,1.62413,2.67683,1.6303,1.87301,0.0017492,0.0017492,0.0017492
40,193.934,1.48447,2.33236,1.42663,1.72323,0.59745,0.50746,0.55517,0.2883,0.63129,0.50249,0.56965,0.28103,1.65762,2.69703,1.656,1.88858,0.0017426,0.0017426,0.0017426
41,198.629,1.49544,2.29638,1.41054,1.74267,0.62139,0.53234,0.54181,0.26621,0.6388,0.55721,0.56648,0.26548,1.76906,2.96472,1.66165,1.98762,0.001736,0.001736,0.001736
42,203.339,1.47967,2.27682,1.40712,1.716,0.55211,0.62189,0.58124,0.29147,0.57327,0.61194,0.58942,0.2945,1.67889,2.64395,1.61458,1.88475,0.0017294,0.0017294,0.0017294
43,208.051,1.44519,2.31132,1.3814,1.72685,0.5961,0.60199,0.60365,0.31039,0.59811,0.60199,0.61376,0.31086,1.67105,2.68052,1.5869,1.91344,0.0017228,0.0017228,0.0017228
44,212.841,1.50184,2.29373,1.40146,1.74027,0.68541,0.58706,0.6022,0.29785,0.69393,0.59701,0.62496,0.31207,1.72219,2.67648,1.66467,1.91535,0.0017162,0.0017162,0.0017162
45,217.799,1.46702,2.28758,1.40403,1.7224,0.60295,0.55908,0.56359,0.28102,0.60307,0.55224,0.56455,0.28571,1.7354,2.70039,1.67985,1.92098,0.0017096,0.0017096,0.0017096
46,222.771,1.45126,2.26647,1.35523,1.69976,0.58771,0.56736,0.5377,0.27971,0.61348,0.59224,0.58918,0.28573,1.67935,2.68984,1.77939,1.92402,0.001703,0.001703,0.001703
47,227.705,1.43916,2.25875,1.36515,1.68797,0.6554,0.58706,0.61918,0.32902,0.6732,0.60199,0.63194,0.33395,1.60029,2.68719,1.50674,1.84198,0.0016964,0.0016964,0.0016964
48,232.693,1.43052,2.26311,1.3224,1.67568,0.57705,0.60199,0.56879,0.30177,0.57705,0.60199,0.57056,0.29599,1.65083,2.70187,1.59286,1.89078,0.0016898,0.0016898,0.0016898
49,237.675,1.4023,2.1984,1.28953,1.64966,0.62998,0.55906,0.57135,0.29634,0.71066,0.52736,0.5773,0.29095,1.69929,2.82451,1.60309,1.91109,0.0016832,0.0016832,0.0016832
50,242.685,1.4383,2.26989,1.35244,1.67139,0.61545,0.61194,0.61845,0.33458,0.61977,0.60199,0.61891,0.32094,1.5827,2.65699,1.51783,1.80167,0.0016766,0.0016766,0.0016766
51,247.76,1.39271,2.19727,1.29791,1.66695,0.56642,0.59204,0.57197,0.29296,0.57766,0.59204,0.56252,0.28006,1.63409,2.79626,1.61815,1.85577,0.00167,0.00167,0.00167
52,252.709,1.39182,2.18294,1.29053,1.64663,0.69549,0.56716,0.61134,0.3094,0.71395,0.58706,0.60212,0.31103,1.61349,2.78911,1.60741,1.84897,0.0016634,0.0016634,0.0016634
53,257.731,1.39032,2.1886,1.26476,1.61199,0.60335,0.52976,0.54078,0.27371,0.59769,0.52478,0.53497,0.27416,1.6839,2.75806,1.70218,1.93186,0.0016568,0.0016568,0.0016568
54,262.707,1.37227,2.1993,1.26766,1.63408,0.61634,0.63682,0.6103,0.3119,0.63296,0.64677,0.63322,0.32378,1.66129,2.79933,1.54926,1.8968,0.0016502,0.0016502,0.0016502
55,267.66,1.40489,2.22522,1.26967,1.66895,0.60717,0.59211,0.57995,0.31199,0.62662,0.5761,0.5861,0.3024,1.60974,2.7444,1.59463,1.84464,0.0016436,0.0016436,0.0016436
56,272.617,1.38034,2.18162,1.22218,1.63498,0.59255,0.60776,0.59069,0.3133,0.65042,0.58706,0.60494,0.31509,1.60683,2.70861,1.61589,1.8589,0.001637,0.001637,0.001637
57,277.556,1.38241,2.16417,1.27164,1.61436,0.66609,0.60539,0.61958,0.32402,0.66649,0.60648,0.6314,0.32949,1.64244,2.7645,1.49927,1.85335,0.0016304,0.0016304,0.0016304
