epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,146.33,1.67802,2.51707,1.62553,1.94179,0.51278,0.57214,0.52324,0.25598,0.52544,0.57711,0.55178,0.2606,1.75143,2.85278,1.83362,2.01398,0.0018086,0.0018086,0.0018086
31,151.359,1.62078,2.49525,1.60385,1.90936,0.58369,0.54408,0.52763,0.26037,0.59959,0.55224,0.55842,0.26281,1.75287,2.90122,1.72656,2.01265,0.001802,0.001802,0.001802
32,156.399,1.59593,2.42552,1.54778,1.87267,0.66013,0.49751,0.55974,0.25856,0.66291,0.51244,0.58512,0.2876,1.7998,2.74446,1.73443,2.02883,0.0017954,0.0017954,0.0017954
33,161.417,1.64754,2.43634,1.57411,1.90104,0.54541,0.56707,0.51666,0.25928,0.5622,0.58209,0.5598,0.26592,1.7838,2.84261,1.67623,2.02706,0.0017888,0.0017888,0.0017888
34,166.477,1.62484,2.42348,1.53735,1.869,0.58803,0.54229,0.52853,0.26937,0.59471,0.51832,0.51926,0.25223,1.6709,2.92421,1.75206,1.92077,0.0017822,0.0017822,0.0017822
35,171.465,1.62791,2.41117,1.52263,1.88003,0.58077,0.51003,0.5191,0.26369,0.59778,0.51741,0.53419,0.26837,1.72908,2.7551,1.73751,1.96489,0.0017756,0.0017756,0.0017756
36,176.447,1.59399,2.42975,1.51591,1.82338,0.58976,0.60199,0.54529,0.26503,0.57581,0.59204,0.54232,0.27157,1.79855,2.71025,1.72421,2.02208,0.001769,0.001769,0.001769
37,181.458,1.5661,2.36003,1.44197,1.8286,0.6116,0.52736,0.52795,0.27392,0.61853,0.53234,0.55664,0.28099,1.80707,2.79687,1.7433,2.05067,0.0017624,0.0017624,0.0017624
38,186.257,1.52056,2.32319,1.46091,1.79405,0.61472,0.48756,0.53527,0.25465,0.64209,0.50746,0.55819,0.26961,1.86764,2.76263,1.79957,2.10952,0.0017558,0.0017558,0.0017558
39,191.115,1.58557,2.39787,1.5099,1.84004,0.65908,0.56746,0.60125,0.28925,0.67499,0.54761,0.59675,0.28607,1.75506,2.83346,1.64339,1.98363,0.0017492,0.0017492,0.0017492
40,195.871,1.52731,2.31596,1.43305,1.76847,0.62535,0.58209,0.61556,0.31791,0.63501,0.59204,0.62718,0.32082,1.70267,2.75362,1.57865,1.91973,0.0017426,0.0017426,0.0017426
41,200.644,1.54049,2.29548,1.41528,1.79221,0.66442,0.58118,0.61281,0.30676,0.66263,0.57214,0.60865,0.30532,1.7374,2.78673,1.62015,1.95203,0.001736,0.001736,0.001736
42,205.292,1.54095,2.31635,1.39253,1.77503,0.63751,0.43781,0.51213,0.25274,0.67324,0.46269,0.54327,0.26087,1.79782,2.66494,1.82524,1.98992,0.0017294,0.0017294,0.0017294
43,210.123,1.50068,2.29972,1.38622,1.77897,0.64863,0.51244,0.57736,0.29714,0.6686,0.52736,0.58844,0.29659,1.64484,2.64911,1.66198,1.85417,0.0017228,0.0017228,0.0017228
44,215.122,1.50413,2.26911,1.36586,1.75715,0.69593,0.54657,0.6054,0.31567,0.73759,0.55721,0.62547,0.3159,1.72866,2.72475,1.59789,1.95633,0.0017162,0.0017162,0.0017162
45,220.173,1.50821,2.28333,1.38167,1.7646,0.60535,0.53731,0.55662,0.2986,0.62777,0.55721,0.58465,0.31298,1.68161,2.68759,1.68454,1.93497,0.0017096,0.0017096,0.0017096
46,225.159,1.48654,2.26763,1.3366,1.75294,0.58197,0.60199,0.58907,0.29184,0.60208,0.61692,0.62395,0.29742,1.70056,2.91666,1.5764,1.96082,0.001703,0.001703,0.001703
47,230.168,1.5091,2.2353,1.38556,1.74764,0.64777,0.56716,0.61392,0.30836,0.66871,0.58209,0.62303,0.31587,1.66192,2.52157,1.72536,1.87654,0.0016964,0.0016964,0.0016964
48,235.184,1.47211,2.23683,1.31646,1.72016,0.61238,0.57711,0.59427,0.32403,0.62197,0.57299,0.59496,0.32092,1.63127,2.73755,1.62075,1.8577,0.0016898,0.0016898,0.0016898
49,240.247,1.44715,2.18925,1.26369,1.69129,0.6212,0.56219,0.61331,0.30717,0.6201,0.56845,0.60669,0.30116,1.74286,2.83492,1.57124,1.92455,0.0016832,0.0016832,0.0016832
50,245.222,1.48424,2.24552,1.31038,1.71572,0.63513,0.54726,0.58113,0.30827,0.61329,0.52736,0.57167,0.30058,1.62977,2.81466,1.57944,1.86206,0.0016766,0.0016766,0.0016766
51,250.278,1.47755,2.23133,1.32078,1.74468,0.63227,0.58706,0.593,0.31509,0.63646,0.59204,0.59949,0.31147,1.59449,2.573,1.8752,1.90116,0.00167,0.00167,0.00167
52,255.287,1.40763,2.16795,1.28331,1.67567,0.64028,0.53234,0.56422,0.30308,0.65642,0.53731,0.58079,0.30457,1.69145,2.90688,1.67405,1.95728,0.0016634,0.0016634,0.0016634
53,260.293,1.43523,2.18093,1.27543,1.6666,0.66123,0.59701,0.58679,0.31553,0.67472,0.60697,0.60411,0.33277,1.67865,2.5868,1.53415,1.92289,0.0016568,0.0016568,0.0016568
54,265.3,1.39519,2.16805,1.26661,1.67092,0.71872,0.54726,0.6381,0.34148,0.73201,0.53731,0.63167,0.34194,1.65993,2.49314,1.52802,1.91405,0.0016502,0.0016502,0.0016502
55,270.045,1.41492,2.16812,1.24778,1.68592,0.70209,0.55721,0.62743,0.34717,0.72089,0.57214,0.6345,0.3276,1.57432,2.68734,1.47986,1.88879,0.0016436,0.0016436,0.0016436
56,274.66,1.38625,2.16234,1.20683,1.65402,0.64611,0.57214,0.60144,0.33886,0.64435,0.58209,0.61922,0.32724,1.57515,2.73047,1.52346,1.84785,0.001637,0.001637,0.001637
57,279.257,1.3637,2.08509,1.19458,1.61853,0.59342,0.63184,0.62048,0.31754,0.64451,0.59533,0.63887,0.32617,1.69915,2.64863,1.46624,1.93362,0.0016304,0.0016304,0.0016304
58,283.846,1.40067,2.13102,1.23206,1.66629,0.678,0.57711,0.62712,0.32792,0.68902,0.5732,0.64907,0.32642,1.68006,2.62977,1.54078,1.97115,0.0016238,0.0016238,0.0016238
59,288.446,1.38067,2.11097,1.22024,1.65563,0.59295,0.63682,0.59835,0.3134,0.60131,0.62687,0.60793,0.30842,1.67317,2.5434,1.55292,1.89761,0.0016172,0.0016172,0.0016172
60,293.097,1.34194,2.06864,1.16432,1.6004,0.66446,0.56716,0.63514,0.3314,0.70234,0.52736,0.62358,0.33365,1.58201,2.59818,1.50514,1.86196,0.0016106,0.0016106,0.0016106
61,297.768,1.36401,2.06765,1.17822,1.62497,0.58885,0.60697,0.5895,0.32288,0.60406,0.60723,0.61037,0.32345,1.57631,2.74666,1.47419,1.85716,0.001604,0.001604,0.001604
62,302.431,1.35656,2.09494,1.17971,1.6139,0.68993,0.5978,0.65936,0.35673,0.69568,0.60277,0.66417,0.3389,1.58134,2.77933,1.41114,1.88035,0.0015974,0.0015974,0.0015974
63,307.188,1.36075,2.10661,1.20478,1.63165,0.65025,0.59204,0.62972,0.33324,0.63873,0.58209,0.62582,0.33461,1.59869,2.63163,1.53766,1.89901,0.0015908,0.0015908,0.0015908
64,312.016,1.36247,2.07494,1.17247,1.62921,0.62397,0.60697,0.62547,0.32806,0.63932,0.62189,0.64004,0.32307,1.61325,2.71624,1.51409,1.86143,0.0015842,0.0015842,0.0015842
