epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,158.638,1.59302,2.51533,1.59705,1.92997,0.52366,0.44301,0.43025,0.21581,0.5413,0.45794,0.43714,0.20262,1.79005,2.80425,1.96146,2.06618,0.0018086,0.0018086,0.0018086
31,163.609,1.61315,2.52456,1.61458,1.92466,0.51787,0.46493,0.46263,0.2251,0.52281,0.46766,0.47107,0.22646,1.78146,3.018,1.85067,2.0629,0.001802,0.001802,0.001802
32,168.608,1.60609,2.4583,1.58814,1.925,0.58845,0.48373,0.48535,0.24186,0.61386,0.50618,0.51271,0.24748,1.77427,2.81802,1.85279,2.05336,0.0017954,0.0017954,0.0017954
33,173.523,1.65501,2.47908,1.5887,1.94385,0.57805,0.56219,0.50418,0.24379,0.60217,0.59493,0.53058,0.2501,1.71144,2.67466,1.87683,2.02534,0.0017888,0.0017888,0.0017888
34,178.574,1.57285,2.40481,1.52787,1.87535,0.54641,0.61194,0.55478,0.27824,0.54588,0.60199,0.55027,0.27962,1.71006,2.6389,1.70402,1.98533,0.0017822,0.0017822,0.0017822
35,184.3,1.5614,2.37417,1.52218,1.88167,0.49411,0.35323,0.37096,0.18536,0.50802,0.36318,0.37568,0.18174,1.85717,2.88246,2.16494,2.14913,0.0017756,0.0017756,0.0017756
36,189.512,1.50787,2.39119,1.50344,1.8119,0.46157,0.61417,0.47053,0.232,0.46157,0.61417,0.46932,0.22789,1.67208,2.72266,1.75688,1.96998,0.001769,0.001769,0.001769
37,194.614,1.5449,2.41226,1.49679,1.84714,0.58106,0.47264,0.47402,0.2331,0.58875,0.45771,0.46082,0.22562,1.75007,2.82968,2.12527,2.10764,0.0017624,0.0017624,0.0017624
38,199.826,1.49384,2.37573,1.49218,1.81765,0.58341,0.57711,0.58681,0.29131,0.61462,0.54726,0.56885,0.28241,1.69527,2.6937,1.68233,1.97596,0.0017558,0.0017558,0.0017558
39,205.088,1.51171,2.38021,1.48605,1.81421,0.61044,0.57711,0.54011,0.27843,0.60574,0.58858,0.55271,0.27088,1.72561,2.5828,1.64084,2.01913,0.0017492,0.0017492,0.0017492
40,210.288,1.48938,2.35714,1.47477,1.80351,0.61131,0.52239,0.55938,0.28511,0.58348,0.53731,0.55668,0.26688,1.63318,2.74112,1.63661,1.91614,0.0017426,0.0017426,0.0017426
41,215.5,1.49597,2.2903,1.41602,1.80955,0.55286,0.57214,0.52905,0.27698,0.572,0.58706,0.55467,0.26926,1.6627,2.78206,1.75138,1.97423,0.001736,0.001736,0.001736
42,220.746,1.46325,2.27575,1.40198,1.76707,0.55675,0.54229,0.50899,0.26449,0.56186,0.54726,0.54227,0.25779,1.75408,2.73086,1.68077,2.03968,0.0017294,0.0017294,0.0017294
43,226.018,1.42565,2.30288,1.37596,1.77398,0.56143,0.58706,0.55133,0.29174,0.55218,0.57711,0.55064,0.27575,1.63449,2.7135,1.65319,1.90507,0.0017228,0.0017228,0.0017228
44,231.317,1.44973,2.25276,1.35075,1.757,0.56609,0.53234,0.53254,0.26665,0.68391,0.47761,0.56037,0.27173,1.76114,2.80039,1.81708,2.04454,0.0017162,0.0017162,0.0017162
45,236.574,1.46717,2.29826,1.38657,1.78057,0.58395,0.46269,0.46268,0.23708,0.59541,0.47264,0.47415,0.23832,1.71621,2.72526,1.85934,2.02436,0.0017096,0.0017096,0.0017096
46,241.761,1.45,2.30083,1.36769,1.76932,0.49373,0.63075,0.5212,0.26396,0.50428,0.64276,0.55887,0.25671,1.63939,2.69585,1.75647,1.92201,0.001703,0.001703,0.001703
47,246.966,1.45533,2.28606,1.42209,1.76372,0.53844,0.56219,0.55531,0.28464,0.5575,0.58209,0.56797,0.27845,1.68285,2.77138,1.62296,1.93994,0.0016964,0.0016964,0.0016964
48,252.175,1.44149,2.26959,1.3554,1.72894,0.63505,0.56716,0.56454,0.29496,0.63864,0.55395,0.56381,0.28622,1.68222,2.77849,1.71236,1.94928,0.0016898,0.0016898,0.0016898
49,257.396,1.39471,2.19831,1.29884,1.69663,0.58224,0.54229,0.54758,0.29918,0.62856,0.55224,0.57002,0.28542,1.62139,2.7554,1.69596,1.88354,0.0016832,0.0016832,0.0016832
50,262.52,1.43673,2.23281,1.31721,1.72876,0.57149,0.61194,0.60182,0.32925,0.62222,0.59204,0.62219,0.31145,1.58885,2.60914,1.48009,1.90428,0.0016766,0.0016766,0.0016766
51,267.52,1.43667,2.20378,1.31116,1.76645,0.57784,0.60697,0.56984,0.29145,0.61915,0.62189,0.58517,0.29223,1.62047,2.71143,1.61435,1.93737,0.00167,0.00167,0.00167
52,272.381,1.35544,2.15214,1.23411,1.66801,0.62793,0.55721,0.57759,0.3097,0.63744,0.57214,0.58857,0.29755,1.59399,2.79389,1.55496,1.87201,0.0016634,0.0016634,0.0016634
53,277.273,1.36345,2.13526,1.21232,1.64896,0.56266,0.59701,0.58033,0.32697,0.58378,0.62803,0.60152,0.3194,1.60843,2.6445,1.57992,1.93626,0.0016568,0.0016568,0.0016568
54,282.398,1.3541,2.14589,1.23451,1.67396,0.63224,0.61194,0.59738,0.32234,0.63398,0.61194,0.61407,0.31511,1.60929,2.7159,1.46654,1.92545,0.0016502,0.0016502,0.0016502
55,287.652,1.40124,2.17565,1.24986,1.70479,0.5368,0.59701,0.52993,0.28458,0.54369,0.59204,0.5268,0.2741,1.65599,2.76752,1.6493,1.97111,0.0016436,0.0016436,0.0016436
