epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,157.63,1.70475,2.55159,1.67632,2.00921,0.51099,0.51244,0.48011,0.23308,0.51868,0.51469,0.49811,0.24734,1.84368,2.74045,1.91285,2.09426,0.0018086,0.0018086,0.0018086
31,162.789,1.72574,2.52391,1.64655,2.01328,0.57583,0.43284,0.45105,0.22492,0.62788,0.43653,0.48026,0.23248,1.85116,2.9197,2.08716,2.1409,0.001802,0.001802,0.001802
32,167.868,1.62312,2.45532,1.58469,1.94876,0.53799,0.54229,0.51668,0.2513,0.55159,0.5508,0.52787,0.26817,1.80315,2.70581,1.87961,2.05838,0.0017954,0.0017954,0.0017954
33,172.94,1.63499,2.42127,1.56928,1.9388,0.58367,0.54404,0.53718,0.27399,0.61207,0.56219,0.5639,0.27397,1.69631,2.57187,1.76572,1.97908,0.0017888,0.0017888,0.0017888
34,178.09,1.62269,2.42392,1.54787,1.90857,0.60171,0.51244,0.52982,0.2631,0.61248,0.52239,0.55776,0.27338,1.72567,2.60016,1.78451,2.0382,0.0017822,0.0017822,0.0017822
35,183.132,1.62392,2.41481,1.52029,1.92779,0.55994,0.50012,0.52329,0.24626,0.59453,0.47761,0.52784,0.26991,1.75022,2.69469,1.81541,1.97544,0.0017756,0.0017756,0.0017756
36,188.212,1.60961,2.44811,1.53643,1.88705,0.54425,0.50746,0.4983,0.2396,0.56749,0.52239,0.51101,0.24401,1.82579,2.613,1.83156,2.07484,0.001769,0.001769,0.001769
37,193.269,1.59168,2.3772,1.49219,1.89652,0.49096,0.52783,0.48164,0.2499,0.58397,0.47264,0.51468,0.24688,1.7461,2.71565,1.88944,2.01226,0.0017624,0.0017624,0.0017624
38,198.297,1.59298,2.38328,1.51338,1.88769,0.57934,0.45274,0.50861,0.25453,0.57634,0.46269,0.52365,0.25533,1.78746,2.73383,1.84043,2.02041,0.0017558,0.0017558,0.0017558
39,203.268,1.56795,2.3609,1.47626,1.85293,0.65144,0.50746,0.55622,0.27798,0.64294,0.51741,0.55335,0.28175,1.81074,2.64728,1.7602,2.03277,0.0017492,0.0017492,0.0017492
