epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,152.561,1.71118,2.57359,1.66542,2.01064,0.49576,0.43284,0.40235,0.20561,0.51286,0.44776,0.42003,0.19976,1.81391,3.02488,1.94466,2.15897,0.0018086,0.0018086,0.0018086
31,157.395,1.6739,2.54783,1.66458,1.97349,0.65616,0.51244,0.53061,0.25659,0.63839,0.5182,0.52327,0.2469,1.81366,2.92225,1.81865,2.04167,0.001802,0.001802,0.001802
32,162.273,1.6113,2.48,1.60803,1.91527,0.61118,0.44776,0.49361,0.23806,0.5961,0.46269,0.49647,0.23906,1.91601,2.86611,1.9082,2.18509,0.0017954,0.0017954,0.0017954
33,167.031,1.63698,2.45495,1.5877,1.9406,0.67656,0.47761,0.54093,0.26749,0.67796,0.47761,0.54954,0.26912,1.77583,2.78354,1.80021,2.02009,0.0017888,0.0017888,0.0017888
34,171.908,1.64611,2.46671,1.61623,1.93236,0.54866,0.50803,0.48752,0.21322,0.58327,0.50137,0.49568,0.22812,1.8438,2.88988,1.94618,2.0717,0.0017822,0.0017822,0.0017822
35,176.708,1.63094,2.48715,1.60156,1.93602,0.48427,0.47264,0.43019,0.20343,0.5073,0.46766,0.42386,0.19103,1.89085,2.9796,1.97694,2.14472,0.0017756,0.0017756,0.0017756
36,181.57,1.61816,2.48977,1.5664,1.89359,0.54205,0.43781,0.42969,0.23054,0.59609,0.43284,0.47497,0.23513,1.72067,2.79799,1.84655,2.0077,0.001769,0.001769,0.001769
37,186.623,1.59013,2.458,1.51819,1.88324,0.54183,0.52736,0.50793,0.26664,0.54694,0.53234,0.52705,0.25788,1.74106,2.89678,1.77636,2.01563,0.0017624,0.0017624,0.0017624
38,191.639,1.53941,2.39692,1.50294,1.83816,0.59968,0.47761,0.51161,0.25599,0.61426,0.48259,0.5094,0.24172,1.7896,2.80682,1.81512,2.0226,0.0017558,0.0017558,0.0017558
39,196.456,1.56374,2.36883,1.47233,1.85486,0.54831,0.56219,0.55462,0.28667,0.56547,0.58209,0.56523,0.28252,1.74787,2.69371,1.62422,2.01076,0.0017492,0.0017492,0.0017492
40,201.276,1.5811,2.39962,1.51816,1.85611,0.54875,0.56716,0.5439,0.28206,0.59125,0.59011,0.55869,0.29051,1.70619,2.62566,1.69334,1.97334,0.0017426,0.0017426,0.0017426
41,206.278,1.56121,2.32661,1.46917,1.84747,0.60926,0.58706,0.58146,0.30383,0.61361,0.59256,0.58861,0.30097,1.71689,2.7126,1.63413,1.97321,0.001736,0.001736,0.001736
42,211.363,1.5172,2.31303,1.45052,1.79646,0.6294,0.47264,0.52655,0.26344,0.49703,0.56047,0.53025,0.24709,1.7749,2.77598,1.73009,2.03991,0.0017294,0.0017294,0.0017294
43,216.411,1.48732,2.34541,1.40889,1.80362,0.61807,0.57711,0.56263,0.29353,0.66623,0.57214,0.59477,0.29104,1.73518,2.80496,1.59244,1.99884,0.0017228,0.0017228,0.0017228
44,221.544,1.54378,2.30841,1.41439,1.82765,0.60996,0.57576,0.56738,0.29722,0.64241,0.57711,0.59365,0.30504,1.75337,2.66009,1.71381,2.01436,0.0017162,0.0017162,0.0017162
45,226.628,1.53179,2.32427,1.4241,1.82498,0.5477,0.54221,0.53202,0.28677,0.54271,0.54726,0.5387,0.28754,1.7648,2.70545,1.74529,1.99586,0.0017096,0.0017096,0.0017096
46,231.629,1.5036,2.30918,1.37742,1.78828,0.66296,0.54229,0.57547,0.28771,0.66673,0.54229,0.58899,0.29333,1.7183,2.847,1.67422,1.98169,0.001703,0.001703,0.001703
47,236.549,1.48945,2.29853,1.4009,1.77607,0.63516,0.56716,0.5767,0.29597,0.65208,0.57711,0.58466,0.28625,1.70152,2.70711,1.65687,1.97088,0.0016964,0.0016964,0.0016964
48,241.249,1.53624,2.34735,1.38716,1.82578,0.62114,0.57711,0.57065,0.31463,0.60191,0.57711,0.56713,0.29553,1.64807,2.6962,1.65137,1.90761,0.0016898,0.0016898,0.0016898
49,246.007,1.49967,2.25124,1.33997,1.77985,0.58227,0.55721,0.52611,0.27453,0.59645,0.57214,0.53362,0.26644,1.74273,2.75878,1.72294,1.99571,0.0016832,0.0016832,0.0016832
50,250.799,1.50641,2.28193,1.35571,1.7852,0.57524,0.58619,0.57102,0.29302,0.5881,0.56117,0.56235,0.28925,1.67805,2.65801,1.65592,1.89094,0.0016766,0.0016766,0.0016766
51,255.587,1.49354,2.30679,1.39688,1.80601,0.63432,0.51741,0.53566,0.27871,0.65596,0.51741,0.555,0.27653,1.74243,2.57483,1.69366,2.02719,0.00167,0.00167,0.00167
52,260.379,1.42329,2.21568,1.31026,1.71497,0.69208,0.55912,0.60689,0.31638,0.68574,0.55224,0.60169,0.31679,1.61779,2.59108,1.57029,1.86178,0.0016634,0.0016634,0.0016634
53,265.192,1.47176,2.21353,1.29917,1.72681,0.60652,0.53731,0.52964,0.27499,0.62337,0.55224,0.54317,0.28282,1.75653,2.73339,1.72924,2.03755,0.0016568,0.0016568,0.0016568
54,270.094,1.44865,2.24083,1.33092,1.7536,0.58744,0.62189,0.57153,0.31701,0.60147,0.62189,0.60234,0.31191,1.64008,2.7252,1.53274,1.92052,0.0016502,0.0016502,0.0016502
55,275.312,1.49024,2.28946,1.36332,1.77369,0.59347,0.56219,0.55694,0.29172,0.5999,0.56716,0.55335,0.28713,1.72588,2.77085,1.71083,1.97235,0.0016436,0.0016436,0.0016436
56,280.175,1.41595,2.22508,1.26366,1.7131,0.64776,0.57214,0.59532,0.30315,0.65675,0.57711,0.60255,0.30593,1.69628,2.6931,1.65437,1.94401,0.001637,0.001637,0.001637
57,285.048,1.41389,2.17637,1.26193,1.69017,0.58435,0.63648,0.59078,0.3024,0.60608,0.59705,0.59733,0.29093,1.67448,2.80728,1.52473,1.946,0.0016304,0.0016304,0.0016304
58,290.089,1.41462,2.18134,1.27178,1.72312,0.61287,0.54229,0.57036,0.30867,0.62372,0.53731,0.5793,0.30127,1.7265,2.77644,1.69071,2.01464,0.0016238,0.0016238,0.0016238
59,295.099,1.38974,2.1437,1.24791,1.69493,0.66568,0.53731,0.55824,0.30132,0.6845,0.55224,0.58496,0.29427,1.69937,2.62128,1.5455,1.97586,0.0016172,0.0016172,0.0016172
60,299.911,1.38638,2.11906,1.2115,1.66692,0.63687,0.54229,0.56671,0.29019,0.6618,0.54229,0.59166,0.29381,1.73228,2.5915,1.56359,1.98492,0.0016106,0.0016106,0.0016106
61,304.682,1.38454,2.09461,1.21287,1.66227,0.58771,0.60281,0.60762,0.33023,0.58286,0.59784,0.61006,0.32418,1.64131,2.68467,1.54377,1.88232,0.001604,0.001604,0.001604
62,309.729,1.37852,2.15388,1.20313,1.65607,0.70872,0.56219,0.60556,0.30686,0.72181,0.57214,0.62369,0.31576,1.71711,2.80233,1.53583,2.00376,0.0015974,0.0015974,0.0015974
63,314.785,1.39318,2.16092,1.22876,1.6861,0.65125,0.58209,0.6096,0.34072,0.67645,0.60697,0.64259,0.34677,1.65272,2.61815,1.48855,1.92005,0.0015908,0.0015908,0.0015908
64,319.677,1.34478,2.09512,1.19202,1.65337,0.63601,0.59701,0.59952,0.32653,0.64326,0.60199,0.61677,0.32686,1.61328,2.54575,1.51438,1.8988,0.0015842,0.0015842,0.0015842
65,324.472,1.34308,2.08322,1.17189,1.64235,0.67085,0.54755,0.59872,0.3281,0.63724,0.60303,0.60438,0.32016,1.62025,2.68744,1.56047,1.93755,0.0015776,0.0015776,0.0015776
66,329.22,1.32016,2.03676,1.15373,1.62031,0.63098,0.56996,0.60752,0.33084,0.69712,0.56219,0.6267,0.32836,1.68875,2.78555,1.46957,1.9733,0.001571,0.001571,0.001571
67,333.984,1.33965,2.1022,1.15311,1.61822,0.66452,0.61099,0.61483,0.34029,0.67676,0.61692,0.62822,0.32729,1.62505,2.65926,1.45935,1.96757,0.0015644,0.0015644,0.0015644
68,338.783,1.33163,2.06873,1.13997,1.62955,0.65335,0.59075,0.61248,0.32791,0.62898,0.58209,0.60148,0.3185,1.59124,2.75726,1.47947,1.89097,0.0015578,0.0015578,0.0015578
69,343.66,1.32766,2.09336,1.15311,1.64702,0.62991,0.57214,0.57668,0.31526,0.65268,0.59204,0.60043,0.30478,1.74539,3.02363,1.54593,2.04992,0.0015512,0.0015512,0.0015512
70,348.547,1.32624,2.11736,1.15254,1.60557,0.61506,0.58706,0.6026,0.33142,0.61901,0.56716,0.61423,0.32708,1.60804,2.53882,1.49588,1.88752,0.0015446,0.0015446,0.0015446
71,353.236,1.30659,2.04357,1.10792,1.60452,0.65487,0.59204,0.6398,0.36037,0.67849,0.58706,0.64429,0.35596,1.59134,2.52004,1.49535,1.87447,0.001538,0.001538,0.001538
