epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7411,3.60555,6.10173,3.79052,4.14652,0.00217,0.19403,0.00919,0.00259,0.00194,0.17413,0.00516,0.00105,3.66375,5.03742,3.98779,4.01321,0.000651852,0.000651852,0.000651852
2,16.0564,3.3659,4.35379,3.61406,3.84264,0.00685,0.27363,0.00742,0.00192,0.01409,0.04478,0.00385,0.00107,3.39929,6.73954,3.84616,3.95832,0.00131417,0.00131417,0.00131417
3,21.2664,3.08223,4.10017,3.43228,3.47243,0.00526,0.40299,0.00634,0.00165,0.00475,0.25373,0.00515,0.00106,3.17066,5.05775,5.40088,3.92433,0.00197208,0.00197208,0.00197208
4,26.4017,2.9725,3.89726,3.29303,3.25731,0.19193,0.02488,0.02555,0.00832,0.05493,0.06468,0.02614,0.00838,3.14174,5.29795,5.4902,3.53358,0.0019802,0.0019802,0.0019802
5,31.5953,2.79798,3.74187,3.18839,3.07188,0.07951,0.08458,0.02263,0.00612,0.12919,0.08458,0.0269,0.00693,2.78601,4.19358,5.99646,3.12924,0.0019736,0.0019736,0.0019736
6,36.7723,2.70388,3.72712,3.13015,3.00908,0.13788,0.0995,0.06391,0.01894,0.08954,0.14925,0.05752,0.01557,2.72669,3.97602,4.05953,2.97269,0.001967,0.001967,0.001967
7,41.9213,2.5549,3.55909,2.9769,2.85444,0.23406,0.19403,0.13353,0.04108,0.25207,0.20896,0.14012,0.04763,2.53555,3.71899,4.06736,2.83447,0.0019604,0.0019604,0.0019604
8,47.1156,2.48148,3.45617,2.81789,2.74419,0.19805,0.12935,0.09836,0.0254,0.19269,0.12935,0.09606,0.0259,2.5226,3.55808,3.15264,2.78193,0.0019538,0.0019538,0.0019538
9,52.1331,2.37981,3.32217,2.64423,2.6444,0.2375,0.14428,0.11437,0.0379,0.2652,0.14428,0.12313,0.04052,2.57283,3.75913,3.22197,2.85006,0.0019472,0.0019472,0.0019472
10,56.9679,2.33993,3.27044,2.6014,2.61971,0.19739,0.1592,0.10963,0.03667,0.18968,0.14925,0.10569,0.03409,2.35491,3.55433,2.91266,2.6432,0.0019406,0.0019406,0.0019406
