epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85328,3.61996,6.07848,3.82034,4.16802,0.00244,0.21891,0.00359,0.00155,0.002,0.1791,0.00183,0.00051,3.61703,5.06369,3.88996,4.08378,0.000651852,0.000651852,0.000651852
2,12.7616,3.46654,4.52202,3.66135,3.9288,0.00261,0.23383,0.00221,0.00072,0.00194,0.17413,0.00142,0.00036,3.56576,6.97669,4.36785,4.00542,0.00131417,0.00131417,0.00131417
3,17.5059,3.12621,4.21775,3.49323,3.54688,0.03365,0.0796,0.01009,0.00234,0.02353,0.0796,0.0067,0.00116,3.11783,10.6539,5.68301,4.06937,0.00197208,0.00197208,0.00197208
4,22.2282,3.04055,4.05537,3.36821,3.31388,0.05132,0.13433,0.02227,0.00632,0.09605,0.08955,0.03396,0.00979,2.95874,4.47625,5.6299,3.34546,0.0019802,0.0019802,0.0019802
5,26.903,2.88715,3.89644,3.27364,3.1231,0.0654,0.08955,0.02585,0.0067,0.07266,0.0995,0.02629,0.00918,2.87107,4.34493,4.19037,3.1679,0.0019736,0.0019736,0.0019736
6,31.5643,2.76186,3.78678,3.19606,3.01186,0.11473,0.07463,0.03908,0.01554,0.1383,0.08955,0.04454,0.01481,2.76484,4.10289,3.43343,3.01151,0.001967,0.001967,0.001967
7,36.3184,2.63868,3.64511,3.03948,2.88737,0.11269,0.13433,0.05208,0.01575,0.13748,0.14428,0.05892,0.01824,2.78111,4.03611,3.39958,3.03216,0.0019604,0.0019604,0.0019604
8,41.0729,2.57135,3.5814,2.91899,2.78745,0.204,0.12935,0.09509,0.03526,0.20428,0.12438,0.09146,0.03485,2.54071,3.65341,3.0916,2.71348,0.0019538,0.0019538,0.0019538
9,45.8546,2.46887,3.44401,2.74769,2.69659,0.13162,0.14428,0.0843,0.0316,0.15781,0.12438,0.09441,0.03568,2.49553,3.65662,3.84294,2.78498,0.0019472,0.0019472,0.0019472
10,50.619,2.39983,3.38501,2.67725,2.63272,0.19141,0.13433,0.09919,0.03056,0.20731,0.13433,0.09207,0.02928,2.75072,3.95132,2.98145,3.00345,0.0019406,0.0019406,0.0019406
11,55.3301,2.34579,3.31558,2.59752,2.57151,0.30563,0.30658,0.22592,0.08575,0.33254,0.30348,0.2376,0.08238,2.36075,3.47914,2.53374,2.57378,0.001934,0.001934,0.001934
12,60.181,2.26896,3.18713,2.4946,2.53192,0.31547,0.31343,0.21019,0.08183,0.2888,0.27363,0.18501,0.07457,2.19125,3.4563,2.47641,2.46347,0.0019274,0.0019274,0.0019274
13,64.9301,2.18398,3.1327,2.36553,2.42729,0.33152,0.33831,0.25752,0.11332,0.34719,0.31841,0.2743,0.12304,2.16771,3.25388,2.27602,2.42814,0.0019208,0.0019208,0.0019208
14,70.0633,2.14891,3.08081,2.32904,2.41762,0.24034,0.25185,0.18753,0.07782,0.23665,0.24378,0.18655,0.072,2.23332,3.46191,2.65922,2.47994,0.0019142,0.0019142,0.0019142
15,75.2164,2.07834,3.03837,2.2822,2.36849,0.3608,0.31841,0.31158,0.14651,0.38486,0.32836,0.32474,0.14312,2.02948,3.11037,2.24904,2.30973,0.0019076,0.0019076,0.0019076
16,80.1497,1.98941,2.8922,2.15034,2.26004,0.41596,0.40299,0.36834,0.18435,0.42955,0.40086,0.38204,0.16954,1.92846,3.07929,2.13366,2.21064,0.001901,0.001901,0.001901
17,84.9358,1.99897,2.93449,2.1216,2.26349,0.36796,0.33888,0.31365,0.14099,0.41051,0.33831,0.3252,0.1365,2.03244,3.00107,2.26241,2.29644,0.0018944,0.0018944,0.0018944
18,89.8532,1.92642,2.77788,2.02127,2.21509,0.50389,0.36318,0.39574,0.17731,0.54357,0.35821,0.4061,0.18583,1.94691,2.96318,2.04187,2.17455,0.0018878,0.0018878,0.0018878
19,94.8224,1.92845,2.82199,1.97932,2.1955,0.43796,0.31403,0.31166,0.13918,0.4449,0.319,0.32347,0.13068,1.99651,3.09696,2.21394,2.27138,0.0018812,0.0018812,0.0018812
20,99.5851,1.87512,2.77794,1.91954,2.17994,0.43601,0.40796,0.38387,0.17887,0.45072,0.41294,0.38641,0.16964,1.9135,3.26493,2.07026,2.16113,0.0018746,0.0018746,0.0018746
21,104.35,1.82588,2.74601,1.86461,2.09916,0.44558,0.42289,0.39701,0.17882,0.46285,0.42786,0.4119,0.18321,1.9209,2.87996,2.04453,2.17058,0.001868,0.001868,0.001868
22,109.078,1.79864,2.7245,1.86702,2.08457,0.53376,0.50123,0.47464,0.22946,0.58437,0.51063,0.51023,0.23289,1.83713,2.94602,1.87403,2.08739,0.0018614,0.0018614,0.0018614
23,113.838,1.7795,2.63956,1.79275,2.04226,0.56854,0.43284,0.44941,0.20978,0.58407,0.41791,0.44804,0.19853,1.87679,3.01432,1.91502,2.13334,0.0018548,0.0018548,0.0018548
24,118.671,1.78623,2.69132,1.80549,2.03325,0.53128,0.43781,0.42633,0.20087,0.55201,0.45771,0.45207,0.19225,1.8294,3.01826,2.05098,2.0786,0.0018482,0.0018482,0.0018482
25,123.424,1.73439,2.67128,1.79622,2.00067,0.57186,0.51244,0.48301,0.2385,0.55237,0.52239,0.51242,0.24214,1.83344,2.90049,1.90153,2.1012,0.0018416,0.0018416,0.0018416
26,128.182,1.68816,2.60631,1.6989,1.96111,0.58125,0.49254,0.51263,0.24979,0.58846,0.51244,0.54092,0.25349,1.849,2.86203,1.76847,2.08124,0.001835,0.001835,0.001835
27,132.892,1.69783,2.56473,1.68575,1.96853,0.56867,0.43284,0.48926,0.25007,0.58353,0.42786,0.47635,0.23856,1.79991,2.86885,1.81388,2.04998,0.0018284,0.0018284,0.0018284
28,137.613,1.64125,2.50008,1.59524,1.90014,0.58212,0.52736,0.53587,0.24469,0.58021,0.52239,0.52402,0.2498,1.88578,2.97512,1.73677,2.06857,0.0018218,0.0018218,0.0018218
29,142.352,1.68247,2.57103,1.69438,1.95047,0.61019,0.50746,0.53127,0.25025,0.63154,0.52736,0.54737,0.25494,1.81045,2.84763,1.8597,2.04728,0.0018152,0.0018152,0.0018152
30,147.176,1.61303,2.50691,1.59513,1.88579,0.55726,0.47761,0.48934,0.25289,0.57867,0.48259,0.52085,0.24412,1.77939,2.81565,1.75974,2.02121,0.0018086,0.0018086,0.0018086
31,152.208,1.64031,2.53196,1.62073,1.90756,0.55938,0.56844,0.52604,0.26989,0.57542,0.57214,0.53487,0.2657,1.67517,2.82447,1.81589,1.90479,0.001802,0.001802,0.001802
32,157.311,1.59212,2.44022,1.54635,1.86947,0.61748,0.51741,0.53929,0.24993,0.63726,0.49751,0.54805,0.26318,1.89927,2.98362,1.74861,2.12185,0.0017954,0.0017954,0.0017954
33,162.283,1.60075,2.43408,1.54951,1.85184,0.62226,0.49994,0.54969,0.26212,0.62845,0.50492,0.55202,0.25952,1.77264,2.83002,1.70178,1.98371,0.0017888,0.0017888,0.0017888
34,167.34,1.61193,2.41721,1.52197,1.85937,0.57859,0.53964,0.53345,0.26716,0.61752,0.53234,0.54273,0.26283,1.77592,2.88741,1.73796,1.99048,0.0017822,0.0017822,0.0017822
35,172.285,1.60355,2.39972,1.51972,1.87372,0.51009,0.54229,0.48315,0.23485,0.54175,0.55877,0.53443,0.25333,1.76646,2.76749,1.77649,2.01974,0.0017756,0.0017756,0.0017756
36,177.263,1.59522,2.4565,1.55044,1.83207,0.5431,0.55224,0.53041,0.24733,0.54953,0.54726,0.54051,0.25009,1.78548,2.82997,1.79955,1.96137,0.001769,0.001769,0.001769
37,182.009,1.57615,2.42606,1.51422,1.83218,0.48336,0.55857,0.47888,0.24063,0.61692,0.45771,0.48737,0.24243,1.7938,2.91295,1.77984,2.05282,0.0017624,0.0017624,0.0017624
38,186.667,1.51965,2.35453,1.46039,1.78399,0.64551,0.54726,0.56979,0.27857,0.7007,0.53731,0.56903,0.28695,1.77248,2.79656,1.70774,1.9932,0.0017558,0.0017558,0.0017558
39,191.384,1.52402,2.32588,1.43455,1.78512,0.59854,0.53731,0.54198,0.28719,0.59646,0.54726,0.54901,0.27852,1.72572,2.81354,1.68316,1.92293,0.0017492,0.0017492,0.0017492
40,196.091,1.51218,2.35512,1.4529,1.76617,0.52298,0.61194,0.54587,0.26492,0.5406,0.62189,0.57195,0.27765,1.72809,2.76352,1.6605,1.92308,0.0017426,0.0017426,0.0017426
41,200.796,1.54911,2.32401,1.42763,1.80008,0.54976,0.58706,0.54664,0.27527,0.54605,0.58209,0.54774,0.27038,1.79744,2.99759,1.69128,1.97116,0.001736,0.001736,0.001736
42,205.489,1.49663,2.28624,1.38995,1.74529,0.63014,0.57639,0.58393,0.29658,0.64207,0.58903,0.5996,0.30434,1.78465,2.72433,1.58944,2.01636,0.0017294,0.0017294,0.0017294
43,210.212,1.48936,2.32204,1.39791,1.76557,0.62092,0.53731,0.5318,0.25298,0.61304,0.55173,0.54729,0.26105,1.76659,2.7788,1.75262,1.98033,0.0017228,0.0017228,0.0017228
44,214.973,1.49903,2.25331,1.36922,1.74377,0.63353,0.52736,0.52102,0.24939,0.64604,0.53575,0.5389,0.26697,1.81183,2.64894,1.8985,2.01337,0.0017162,0.0017162,0.0017162
45,219.722,1.47927,2.30287,1.388,1.74374,0.63352,0.56763,0.6028,0.29903,0.63673,0.55721,0.60366,0.30675,1.68348,2.65619,1.64356,1.89236,0.0017096,0.0017096,0.0017096
46,224.454,1.48151,2.27682,1.34673,1.74166,0.61866,0.54726,0.55626,0.25924,0.62991,0.55721,0.57002,0.27604,1.83352,2.77667,1.73087,2.09292,0.001703,0.001703,0.001703
47,229.119,1.50054,2.27536,1.38684,1.73608,0.57004,0.59701,0.55391,0.27386,0.57479,0.60199,0.56946,0.27615,1.74225,2.80151,1.66803,1.95098,0.0016964,0.0016964,0.0016964
48,233.813,1.46896,2.26708,1.34849,1.71761,0.54681,0.55721,0.54299,0.27939,0.64911,0.52239,0.55232,0.27529,1.72032,2.84131,1.66861,1.94418,0.0016898,0.0016898,0.0016898
49,238.511,1.45339,2.20335,1.30992,1.69918,0.67343,0.55721,0.61757,0.31553,0.66742,0.55224,0.60474,0.30207,1.67204,2.73464,1.50356,1.88213,0.0016832,0.0016832,0.0016832
50,243.244,1.45764,2.23233,1.31247,1.70311,0.67674,0.54726,0.60771,0.31269,0.66816,0.55096,0.59887,0.2973,1.71169,2.92402,1.56832,1.9005,0.0016766,0.0016766,0.0016766
51,248.099,1.43278,2.19646,1.30628,1.7071,0.57071,0.65672,0.59897,0.3067,0.59271,0.62189,0.60459,0.29626,1.61874,2.55094,1.52535,1.85133,0.00167,0.00167,0.00167
52,253.038,1.3532,2.13019,1.24981,1.6201,0.59479,0.63184,0.61327,0.32438,0.63766,0.56716,0.62471,0.3196,1.64079,2.73934,1.55137,1.84737,0.0016634,0.0016634,0.0016634
53,258.018,1.41106,2.16424,1.23985,1.64572,0.54338,0.59204,0.55202,0.29855,0.57648,0.57214,0.56278,0.2844,1.69728,2.93208,1.63567,1.97365,0.0016568,0.0016568,0.0016568
54,262.992,1.40885,2.16959,1.24611,1.67573,0.65078,0.60697,0.62244,0.31991,0.65653,0.61194,0.6331,0.30723,1.70157,2.61958,1.47549,1.94266,0.0016502,0.0016502,0.0016502
55,267.896,1.41797,2.1634,1.24293,1.67962,0.71747,0.49254,0.57252,0.29834,0.71299,0.48756,0.55764,0.28935,1.64246,2.73538,1.61475,1.87791,0.0016436,0.0016436,0.0016436
56,272.85,1.39211,2.16213,1.23215,1.64839,0.59385,0.61692,0.60421,0.31427,0.57799,0.60199,0.59974,0.30854,1.6546,2.7677,1.56304,1.86263,0.001637,0.001637,0.001637
57,277.774,1.3577,2.10364,1.21032,1.59967,0.58013,0.63682,0.58883,0.30941,0.57559,0.63184,0.58749,0.30107,1.68638,2.75337,1.49593,1.89796,0.0016304,0.0016304,0.0016304
58,282.673,1.37292,2.14177,1.21131,1.63194,0.62369,0.58209,0.60794,0.32187,0.63769,0.57794,0.62105,0.31055,1.69668,2.87641,1.53364,1.90322,0.0016238,0.0016238,0.0016238
59,287.607,1.38517,2.12352,1.22044,1.65558,0.54878,0.64139,0.57823,0.28782,0.57785,0.61291,0.58071,0.27277,1.70254,2.78572,1.61983,1.97628,0.0016172,0.0016172,0.0016172
60,292.556,1.36134,2.11185,1.19935,1.60244,0.65388,0.53234,0.57684,0.30702,0.65293,0.5335,0.58865,0.297,1.6551,2.68789,1.61817,1.93099,0.0016106,0.0016106,0.0016106
61,297.524,1.33822,2.05884,1.12976,1.58374,0.63539,0.57214,0.61538,0.34444,0.63539,0.57214,0.62553,0.3272,1.64692,2.70025,1.52055,1.84294,0.001604,0.001604,0.001604
62,302.206,1.34539,2.0903,1.15511,1.59252,0.65718,0.60697,0.62534,0.3299,0.65845,0.60697,0.63132,0.32939,1.63943,2.76802,1.50063,1.87178,0.0015974,0.0015974,0.0015974
63,306.877,1.36729,2.1187,1.19168,1.61687,0.6826,0.57711,0.62501,0.35648,0.68848,0.58209,0.64291,0.34274,1.61809,2.70879,1.49628,1.8662,0.0015908,0.0015908,0.0015908
64,311.826,1.33334,2.04917,1.17104,1.60535,0.6633,0.59786,0.62258,0.32602,0.6633,0.59786,0.63146,0.31941,1.66497,2.50974,1.54843,1.90121,0.0015842,0.0015842,0.0015842
65,316.883,1.33502,2.06077,1.1637,1.58613,0.62363,0.643,0.63484,0.33354,0.63251,0.63682,0.63635,0.32034,1.7082,2.79457,1.48164,1.94386,0.0015776,0.0015776,0.0015776
66,321.833,1.32012,2.00245,1.09788,1.56352,0.67411,0.59701,0.6217,0.34303,0.68598,0.60697,0.64715,0.33803,1.64654,2.67716,1.41534,1.89318,0.001571,0.001571,0.001571
67,326.794,1.29017,2.0255,1.07149,1.54102,0.72056,0.55224,0.6303,0.34683,0.66519,0.57329,0.62858,0.33513,1.61988,2.64089,1.41477,1.87993,0.0015644,0.0015644,0.0015644
68,331.821,1.3361,2.03899,1.12629,1.59317,0.5743,0.59204,0.56377,0.29392,0.58347,0.60199,0.55964,0.28427,1.65902,2.63151,1.63835,1.90756,0.0015578,0.0015578,0.0015578
69,336.799,1.33024,2.05406,1.12406,1.59825,0.65473,0.62267,0.61445,0.32529,0.66159,0.62687,0.63328,0.33129,1.67713,2.69247,1.45596,1.92775,0.0015512,0.0015512,0.0015512
70,341.808,1.31716,2.0798,1.12536,1.56066,0.63569,0.63184,0.64135,0.3486,0.63569,0.63184,0.65308,0.33741,1.60026,2.62978,1.4578,1.84009,0.0015446,0.0015446,0.0015446
71,346.867,1.318,2.06381,1.11837,1.5717,0.70444,0.56219,0.61594,0.32381,0.70444,0.56219,0.61276,0.31651,1.68367,2.69104,1.531,1.87755,0.001538,0.001538,0.001538
72,351.776,1.28698,2.05464,1.09182,1.553,0.63511,0.63184,0.5936,0.32589,0.65646,0.65174,0.62578,0.31396,1.64564,2.80405,1.4761,1.91489,0.0015314,0.0015314,0.0015314
73,356.731,1.22126,1.94864,1.04825,1.51038,0.60268,0.64677,0.61666,0.32453,0.60971,0.64677,0.62128,0.31766,1.66501,2.66943,1.48463,1.93954,0.0015248,0.0015248,0.0015248
74,361.711,1.26478,1.97929,1.05962,1.53308,0.63102,0.64677,0.624,0.33755,0.64431,0.65672,0.63749,0.32299,1.62236,2.77808,1.38774,1.89031,0.0015182,0.0015182,0.0015182
75,366.67,1.27994,2.01268,1.05981,1.54315,0.73736,0.54726,0.63808,0.33375,0.74699,0.55224,0.64063,0.33178,1.70132,2.8161,1.4053,1.92589,0.0015116,0.0015116,0.0015116
76,371.62,1.25416,1.97295,1.04697,1.52433,0.63774,0.63184,0.63409,0.34678,0.64038,0.63184,0.64545,0.33296,1.59665,2.55508,1.4688,1.84134,0.001505,0.001505,0.001505
77,376.575,1.25143,1.93101,1.04424,1.52356,0.65276,0.63599,0.65777,0.36244,0.63767,0.65672,0.66447,0.34347,1.53321,2.53957,1.41686,1.78253,0.0014984,0.0014984,0.0014984
78,381.54,1.21821,1.93922,1.02149,1.47955,0.64164,0.63184,0.61175,0.3355,0.63162,0.63126,0.60435,0.31205,1.6136,2.8277,1.47479,1.85671,0.0014918,0.0014918,0.0014918
79,386.462,1.22052,1.92337,1.02192,1.50524,0.64583,0.65174,0.64647,0.34825,0.65076,0.65672,0.65221,0.33929,1.61653,2.74464,1.35172,1.8736,0.0014852,0.0014852,0.0014852
80,391.415,1.21923,1.94754,0.9985,1.4851,0.69693,0.52736,0.61751,0.33444,0.73829,0.53731,0.63483,0.33029,1.59914,2.53829,1.52096,1.85751,0.0014786,0.0014786,0.0014786
81,396.352,1.23816,1.91402,0.99706,1.49078,0.6637,0.59701,0.63086,0.35099,0.65275,0.61692,0.63876,0.33032,1.61576,2.53632,1.40573,1.90736,0.001472,0.001472,0.001472
82,401.292,1.22015,1.89943,1.00034,1.48823,0.60693,0.69138,0.65202,0.35207,0.60539,0.68657,0.65493,0.34209,1.60055,2.66647,1.43129,1.83495,0.0014654,0.0014654,0.0014654
83,406.236,1.23697,1.91915,1.03115,1.50805,0.60246,0.59701,0.61262,0.33837,0.59321,0.57214,0.62009,0.32207,1.67111,2.72905,1.39994,1.8865,0.0014588,0.0014588,0.0014588
84,410.937,1.25072,1.94957,1.03102,1.48243,0.65409,0.62189,0.62807,0.3427,0.65659,0.60879,0.6241,0.33126,1.56731,2.8427,1.4399,1.81548,0.0014522,0.0014522,0.0014522
85,415.625,1.21324,1.88431,0.98829,1.48476,0.62065,0.60199,0.61463,0.33024,0.64832,0.59701,0.61357,0.3204,1.67686,2.85017,1.47317,1.89332,0.0014456,0.0014456,0.0014456
86,420.333,1.2292,1.91335,1.01228,1.4912,0.71377,0.50868,0.62161,0.35351,0.73554,0.53965,0.63545,0.33777,1.53145,2.69888,1.41783,1.78137,0.001439,0.001439,0.001439
